role,company,city,experience,education,salary,salary_lpa,skills,primary_skill,posted_days_ago,quarter,growth_rate,demand_score
QA Engineer,Capgemini,Bangalore,Fresher (0-1 yr),MCA,359912,3.6,Selenium|SQL|API Testing|Git|JIRA,Selenium,108,Q1 2026,10,72
Data Analyst,IBM India,Bangalore,Junior (1-3 yrs),B.Tech,707284,7.1,Python|Tableau|Statistics|Excel|SQL,Python,114,Q1 2026,22,92
Data Engineer,Infosys,Noida,Mid (3-5 yrs),MCA,1063498,10.6,Hadoop|Spark|ETL|SQL|AWS,Hadoop,86,Q1 2026,30,93
Business Analyst,Microsoft India,Hyderabad,Mid (3-5 yrs),BCA,881105,8.8,Tableau|SQL|JIRA|Stakeholder Management,Tableau,96,Q1 2026,18,87
Data Analyst,Mu Sigma,Bangalore,Mid (3-5 yrs),MSc,743812,7.4,Statistics|Python|SQL|R,Statistics,169,Q1 2026,22,92
Data Scientist,Wipro,Bangalore,Senior (5+ yrs),MSc,1531823,15.3,Scikit-learn|Statistics|SQL,Scikit-learn,162,Q1 2026,28,95
BI Developer,Microsoft India,Bangalore,Fresher (0-1 yr),MBA,385338,3.9,SSRS|Azure|Power BI|SQL|DAX,SSRS,62,Q2 2026,15,80
Business Analyst,Mu Sigma,Hyderabad,Mid (3-5 yrs),MCA,958969,9.6,Power BI|SQL|Excel|Stakeholder Management|Agile,Power BI,102,Q1 2026,18,87
Data Scientist,PhonePe,Bangalore,Senior (5+ yrs),MBA,1795638,18.0,Deep Learning|SQL|PyTorch,Deep Learning,117,Q1 2026,28,95
Business Analyst,LatentView,Bangalore,Junior (1-3 yrs),MBA,727199,7.3,Agile|JIRA|Tableau|Stakeholder Management|Excel,Agile,56,Q2 2026,18,87
AI/ML Researcher,Razorpay,Bangalore,Fresher (0-1 yr),B.Tech,704836,7.0,Deep Learning|Research|Mathematics,Deep Learning,174,Q4 2025,42,98
ML Engineer,Google India,Bangalore,Junior (1-3 yrs),M.Tech,1203742,12.0,Docker|CI/CD|Python|Kubernetes|PyTorch,Docker,164,Q1 2026,35,96
Python Developer,Cognizant,Bangalore,Junior (1-3 yrs),BSc,840037,8.4,SQL|AWS|Django|Git|Python,SQL,160,Q1 2026,24,89
Data Scientist,Paytm,Pune,Fresher (0-1 yr),MBA,473297,4.7,Python|TensorFlow|Statistics,Python,125,Q1 2026,28,95
Data Analyst,Hexaware,Gurgaon,Senior (5+ yrs),MSc,920491,9.2,Python|SQL|R|Tableau,Python,21,Q2 2026,22,92
Product Analyst,EXL Service,Noida,Junior (1-3 yrs),MCA,541932,5.4,Excel|Google Analytics|A/B Testing,Excel,42,Q2 2026,20,85
Data Scientist,Flipkart,Gurgaon,Senior (5+ yrs),BCA,1408423,14.1,SQL|PyTorch|Statistics|Deep Learning|Scikit-learn,SQL,112,Q1 2026,28,95
